#
# BeamEnergy...(keV) = 27.9258 +/- 0.00295447
# MagneticField..(T) = 0.00749778 +/- 1.75e-05
# Temperature....(K) = 9.80658 +/- 0.00379862
#
#Time(s)	Asymmetry	Error
0.100	0.14094082	0.00079577
0.300	0.12549134	0.00047705
0.500	0.11487764	0.00038471
0.700	0.10576950	0.00033804
0.900	0.09976639	0.00030955
1.100	0.09496741	0.00029038
1.300	0.09074534	0.00027673
1.500	0.08662357	0.00026661
1.700	0.08426941	0.00025887
1.900	0.08139920	0.00025276
2.100	0.07934136	0.00024791
2.300	0.07805513	0.00024404
2.500	0.07669816	0.00024087
2.700	0.07556624	0.00023831
2.900	0.07462203	0.00023621
3.100	0.07363038	0.00023447
3.300	0.07246657	0.00023299
3.500	0.07270426	0.00023181
3.700	0.07160493	0.00023081
3.900	0.07118854	0.00022998
4.100	0.06499639	0.00023899
4.300	0.05505269	0.00025951
4.500	0.04692431	0.00028183
4.700	0.04118686	0.00030594
4.900	0.03670353	0.00033213
5.100	0.03262552	0.00036054
5.300	0.02838435	0.00039141
5.500	0.02532901	0.00042540
5.700	0.02291098	0.00046149
5.900	0.01994075	0.00050134
6.100	0.01780600	0.00054430
6.300	0.01597009	0.00059161
6.500	0.01580579	0.00064206
6.700	0.01317968	0.00069717
6.900	0.01138684	0.00075767
7.100	0.01152397	0.00082227
7.300	0.01049020	0.00089383
7.500	0.01066086	0.00097088
7.700	0.01009435	0.00105361
7.900	0.00948090	0.00114484
8.100	0.00764734	0.00124435
8.300	0.00799695	0.00134907
8.500	0.00533368	0.00146605
8.700	0.00541345	0.00159398
8.900	0.00311250	0.00173118
9.100	0.00571379	0.00187808
9.300	0.00246401	0.00204273
9.500	0.00244788	0.00221969
9.700	0.00222107	0.00240909
9.900	0.00642118	0.00261453
10.100	0.00482621	0.00284877
10.300	0.00245629	0.00307424
10.500	0.00577394	0.00335082
10.700	0.00391878	0.00364955
10.900	0.00494964	0.00396733
11.100	0.00151391	0.00429751
11.300	0.00359520	0.00466116
11.500	0.00182835	0.00508916
11.700	0.00708309	0.00549754
11.900	-0.00531993	0.00597489
